text	emotion	label	predicted_label	loss
Steven Gerrad  missing u today .. 😭 #ChampionsLeague ⚽ https://t.co/9B0LdBO6bO	sadness	PESSIMISTIC	OTHER	2.5279121
Struggling #Madrid held to goalless draw by Getafe - Gulf Times #GetafeCF 🇪🇸 #LaLiga  https://t.co/8Td299jwFP	sadness	PESSIMISTIC	OTHER	2.5184224
It's not about countries, it's not about faith, it's not about history. It's about the people, their respect for their history, their faith and their culture. My heart goes out to all my French friends, we stand by you all in this time of great loss. #NotreDameCathedralFire https://t.co/WzYZ9EHiZ3	sadness	PESSIMISTIC	OTHER	2.509503
#ExtinctionRebellion and #GretaThunberg have done a great job of raising the profile of #Climatechange   Here's why, when it comes to actually doing something about it, the USER have sadly become, in one important respect, s part of the problem not the solution https://t.co/pE9cdCCN99	sadness	PESSIMISTIC	OTHER	2.5044417
Worthless are even the ashes of a great and ancient church, if we've turned our.backs on the very lessons of the man in whose name it was built.  #NotreDame #TuesdayTruths #NotreDameCathedralFire	sadness	PESSIMISTIC	OTHER	2.4987278
USER Wouldn’t be surprised if eventually investigation revel’s Islamic terrorists involvement. Such a loss, such a shame #NotreDameCathedralFire	sadness	PESSIMISTIC	OTHER	2.497199
//I can't believe the Notre Dame Cathedral had burnt down...to think I wanted to visit that beautiful cathedral when I'm out of school🥺💔//#NotreDame #NotreDameCathedralFire https://t.co/jyyIzfGL1c	sadness	PESSIMISTIC	OTHER	2.4941647
#NotreDameCathedralFire is sad, but it’s even more sad that so much of the world only acknowledges the tragedies of the white/wealthy. Just last week, 3 historic black churches were burned down in Louisiana. Read more here. #louisianachurchfires https://t.co/YBjmZulI9f	sadness	PESSIMISTIC	OTHER	2.4907706
"Notre Dame's tragedy feels disturbingly familiar. A ""Deja Vu"" have a look at how many temples and churches have been slaughtered...How much is lost, and our children will never get to see the history of OUR WORLD 😪 #NotreDameCathedralFire #NeverForget https://t.co/sD7WeTfB1S"	sadness	PESSIMISTIC	OTHER	2.4887242
Very sad to hear about the #NotreDameCathedralFire . I had the great good fortune to sing there, once upon a time. It was the most beautiful place in a beautiful city.	sadness	PESSIMISTIC	OTHER	2.48492
That time of year, when I remember the choir boy singing his heart out in a distant land and another century. This year Easter is more poignant after the #NotreDameCathedralFire . Here Fairuz singing about Marie's woes after the Crucifixion of her son https://t.co/NApDwwnSXo	sadness	PESSIMISTIC	OTHER	2.4831972
absolutely devastating. just heard about this today. was planning on visiting next time i visit. all prayers. #NotreDameCathedralFire	sadness	PESSIMISTIC	OTHER	2.472452
It is secondary how #NotreDame could burn. The important thing is that a great cathedral of Christianity is for decades rather a place of pictures than a place of prayer. #CathedraleNotreDame  #CathedraleNotreDamedeParis  #NotreDameCathedralFire  #NotreDameCathedral	sadness	PESSIMISTIC	OTHER	2.469497
USER USER Hay que decirle que #NotreDame también es católica... que tal vez no lo tiene claro! 🤦🏻‍♀️	sadness	PESSIMISTIC	OTHER	2.4683948
So in the #SpainElection can anyone give me the non-bbc version (which focused on the vox party) and say what is likely to happen next - is there to be a coalition &amp; who with?	fear	WORRIED	OTHER	2.4658868
"""We Are Not a Large House, But We Are a Proud One"" 🖤 RIP House Mormont... ""Here We Stand"" ❤️❤️ #TheLongNight #GoTS8 #GameofThrones https://t.co/5IlKNLzg4M"	sadness	PESSIMISTIC	OTHER	2.4631643
Amazing there are homeless all over the world that get nothing yet an old building burns down 600 million raised in a day 🤔 #povity #Homeless #sleepingruff #NotreDameCathedralFire #Notre_dame_de_Paris	sadness	PESSIMISTIC	OTHER	2.4575522
#prayforvenezuela #Venezuela #caracas #military #coup #venezuelans #government #unrest #riots #violence #clash 🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪 Please keep the people of Venezuela in your thoughts and prayers at this crucial time in the country’s history - https://t.co/Imr4oP5UVQ	sadness	PESSIMISTIC	OTHER	2.4563384
#BARLIV #2pl #ChampionsLeague Today #VanDijk was defending really bad on #Barca goal nr 1 and 2.  Van Dijk a top player, but today ... in those two situations....	sadness	PESSIMISTIC	OTHER	2.4546847
Hot take on #NotreDameCathedralFire   People are out here acting like they’ve been long time stans and like their world is crumbling because of this fire. Yes, it’s unfortunate. It was a historic building with a lot of cultural, architectural, and religious significance. (1/6)	sadness	PESSIMISTIC	OTHER	2.4516406
"Just a word of advice to those American Socialists.. See #Venezuela.. That is what happens when you take citizens guns away and give total control to the government for ""Free Stuff""! You become a Slave to the Government! #MAGA #KAG2020"	disgust	DISLIKE	OTHER	2.444451
A million years ago, stood inside, with the two most beautiful girls in the world (my mother and my baby girl) and lit candles in the Notre Dame. Heartbreaking to see 400 firemen struggling to put out the raging fire.    #NotreDameCathedralFire https://t.co/rqwDlFXOpI	sadness	PESSIMISTIC	OTHER	2.4434705
#NotreDame #NotreDameCathedralFire  Poor Notre Dame.I am really sad 😢 https://t.co/QaFV90UxDL	sadness	PESSIMISTIC	OTHER	2.4383836
I lost a lot in #Avengers and then more in #GameofThrones and if James had lost at USER I don’t think I would have made it through it.	sadness	PESSIMISTIC	OTHER	2.436952
We’ll all be missing this important piece of history and Christianity while it’s being rebuilt. #sosad #NotreDameCathedralFire https://t.co/5bgI0rnzTk	sadness	PESSIMISTIC	OTHER	2.4365878
#ChampionsLeague #Liverpool vamos no te bajes ahora!!!!	sadness	PESSIMISTIC	OTHER	2.4343474
#NotreDameCathedralFire  this news really shook me tbh. i meanー i learned french and it made me feel excited for some reasons whenever it comes to history buildings and when i heard about this, it's sad that it burnt :(	sadness	PESSIMISTIC	OTHER	2.433043
What a loss. One of the most beautiful buildings I have even been in. #NotreDameCathedralFire https://t.co/uYq5Gzrgfk	sadness	PESSIMISTIC	OTHER	2.4330227
History spaning over centuries lost in #NotreDame Cathedral Fire! Sad indeed #NotreDameCathedral #NotreDameCathedralFire  #NotreDameFire	sadness	PESSIMISTIC	OTHER	2.4303713
Please pray for the #Venezuela people 🙏🏼	sadness	PESSIMISTIC	OTHER	2.4287183
